Capítulo,Archivo .qmd,#Fig,Línea,Tipo,Origen (en .qmd),Ruta en figuras_editor,Caption
01-Introduccion,102-Intro.qmd,1,202,dynamic,chunk 'Pop-fig_1',figuras_editor/01-Introduccion/01_Pop-fig_1-1.png,
01-Introduccion,102-Intro.qmd,2,344,static,images/Tolumnia_variegata_Tremblay.jpeg,figuras_editor/01-Introduccion/02_Tolumnia_variegata_Tremblay.jpeg,*Tolumnia variegata*. Foto: Tremblay
01-Introduccion,102-Intro.qmd,3,364,static,images/Demografia_de_una_poblacion.jpg,figuras_editor/01-Introduccion/03_Demografia_de_una_poblacion.jpg,Factores que influyen en la dinámica de una población
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,1,150,render_dual,images/CV_2.png,figuras_editor/02-Ciclos_de_Vida/01_CV_2.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,2,175,render_dual,images/CV_3.png,figuras_editor/02-Ciclos_de_Vida/02_CV_3.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,3,228,render_dual,images/CV_5.png,figuras_editor/02-Ciclos_de_Vida/03_CV_5.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,4,257,render_dual,images/CV_6Telipogon_helleri.png,figuras_editor/02-Ciclos_de_Vida/04_CV_6Telipogon_helleri.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,5,291,render_dual,images/CV7Prasophyllum_correctum.png,figuras_editor/02-Ciclos_de_Vida/05_CV7Prasophyllum_correctum.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,6,316,render_dual,images/CV8_Ophrys.png,figuras_editor/02-Ciclos_de_Vida/06_CV8_Ophrys.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,7,323,static,images/Orchis_purpurea_1_Hans_Jacquemyn.jpg,figuras_editor/02-Ciclos_de_Vida/07_Orchis_purpurea_1_Hans_Jacquemyn.jpg,*Orchis purpurea*. Foto: Hans Jacquemyn
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,8,351,render_dual,images/CV9_Os.png,figuras_editor/02-Ciclos_de_Vida/08_CV9_Os.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,9,355,static,images/Orchis_purpurea_2_Hans_Jacquemyn.jpg,figuras_editor/02-Ciclos_de_Vida/09_Orchis_purpurea_2_Hans_Jacquemyn.jpg,*Orchis purpurea*. Foto: Hans Jacquemyn
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,10,391,render_dual,images/CV10.png,figuras_editor/02-Ciclos_de_Vida/10_CV10.png,
02-Ciclos_de_Vida,103-Ciclos_de_Vida.qmd,11,443,static,figs/CV11_Rage_plot.png,figuras_editor/02-Ciclos_de_Vida/11_CV11_Rage_plot.png,Diagrama de ciclo de vida construido con el paquete `Rage`.
