mat,Lon,Lat,OrganismType,SpeciesAccepted,Authors,Journal,DOI_ISBN
,NA,NA,Epiphyte,Caladenia amonea,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia argocalla,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia clavigera,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia elegans,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia graniticola,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia macroclavia,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia oenochila,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia rosella,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Epiphyte,Caladenia valida,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,Aust J Bot,10.1071/BT08167
,NA,NA,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.319444,66.374722,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.267778,66.389444,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.336944,66.373889,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.322778,66.366944,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.313889,66.367222,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.3175,66.366389,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,29.327222,66.3675,Herbaceous perennial,Epipactis atrorubens,Hens; Pakanen; Jäkäläniemi; Tuomi; Kvist,Biol Conserv,10.1016/j.biocon.2017.04.019
,-65.8,18.295,Epiphyte,Lepanthes rubripetala,Schödelbauerová; Tremblay; Kindlmann,Biodivers Conserv,10.1007/s10531-009-9724-1
,-66.684444,18.349444,Herbaceous perennial,Spathoglottis plicata,Falcón; Ackerman; Tremblay,Biol Invasions,10.1007/s10530-016-1318-8
,-66.684444,18.349444,Herbaceous perennial,Spathoglottis plicata,Falcón; Ackerman; Tremblay,Biol Invasions,10.1007/s10530-016-1318-8
,-66.684444,18.349444,Herbaceous perennial,Spathoglottis plicata,Falcón; Ackerman; Tremblay,Biol Invasions,10.1007/s10530-016-1318-8
,-66.684444,18.349444,Herbaceous perennial,Spathoglottis plicata,Falcón; Ackerman; Tremblay,Biol Invasions,10.1007/s10530-016-1318-8
,-84.515278,21.936389,Epiphyte,Broughtonia cubensis,Raventós; Gonzalez; Mújica; Bonet,Biotropica,10.1111/btp.12231
,NA,NA,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,NA,NA,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,NA,NA,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,25.639444,59.491111,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,23.552222,58.559722,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
,21.917222,58.472222,Herbaceous perennial,Cephalanthera longifolia,Shefferson; Kull; Tali; Kellett,Ecosphere,10.1890/ES11-00328.1
