Genus,Species,Subspecies,Leaf_Width_Low,Leaf_Width_High,Leaf_Width_One_Value,Flower_Stem_Low,Flowe_Stem_High,Flower_Stem_One_Value,Dorsal_Sepal_Low,Dorsal_Sepal_High,Dorsal_Sepal_Width_One_Value,Lip_Width_Low,Lip_Width_High,Lip_Width_One_Value,Lip_Lenght_Low,Lip_Lenght_High,Lip_Length_One_Value,Reference,NAT,NT,Qld,NSW,ACT,Vic,Tas,SA,WA,AUS_W,AUS_L,SA_ALL,References,,,
Arachnorchis,argocalla,,10,18,,300,600,,4,4.5,,NA,NA,,NA,NA,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,NAT,National
Arachnorchis,audassi,,8,10,,150,200,,3,3.5,,7,9,,12,16,,,EN,,,,,TH,,EN,,,,EN,"Backhouse, G. (2007)",,NT,Northern Territory
Arachnorchis,behrii,,7,9,,300,600,,3,4,,12,14,,14,18,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,Qld,Queensland
Arachnorchis,clavigera,,8,12,,200,400,,2.5,2.5,,8,10,,11,14,,,,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,NSW,New South Wales
Arachnorchis,colorata,,6,10,,50,300,,22.4,22.5,22.5,7,8,,10,14,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,ACT,Australian Capital Territory
Arachnorchis,conferta,,15,20,,120,250,,2,2.5,,8,12,,9,12,,,,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,Vic,Victoria
Arachnorchis,gladiolata,,6,12,,40,150,,2,2.5,,8,9,,9,11,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,Tas,Tasmania
Arachnorchis,macroclavia,,10,13,,150,300,,2,3,,14,18,,18,22,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,Sa,South Australia
Arachnorchis,parva,,5,10,,50,150,,1.5,2,,10,12,,11,14,,,,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,WA,Western Australia
Arachnorchis,richardsiorum,,13,15,,200,400,,3,3.5,,10,12,,12,15,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,,
Arachnorchis,rigida,,8,10,,150,300,,3,3.5,,9,11,,14,16,,,EN,,,,,,,EN,,,,EN,"Backhouse, G. (2007)",,TH,Threatened
Arachnorchis,xanthochila,,6,10,,250,320,,2.5,4,,7,9,,9,11,,,EN,,,,,TH,,EN,,,,EN,"Backhouse, G. (2007)",,RA,Rare
