stage	fate	pl
pl	pl	0
pl	dead	0
pl	dead	0
pl	j	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	j	0
pl	j	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	j	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	j	0
pl	pl	0
pl	pl	0
pl	j	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	j	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	j	0
pl	pl	0
pl	dead	0
pl	dead	0
pl	j	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	dead	0
pl	j	0
pl	dead	0
pl	dead	0
pl	pl	0
pl	dead	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	22
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a2	0
a1	a2	0
a1	a2	0
a1	a2	0
a1	dead	0
a2	a2	0
a2	a2	22
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	22
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	22
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	22
a2	a2	0
a2	a2	0
a2	a2	22
a2	a2	0
a2	a2	0
a2	a2	22
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	22
a2	a2	22
pl	j	0
pl	j	0
pl	dead	0
pl	j	0
pl	dead	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
pl	j	0
pl	j	0
pl	dead	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	j	0
pl	pl	0
pl	pl	0
pl	dead	0
pl	j	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
pl	j	0
pl	pl	0
pl	dead	0
pl	pl	0
pl	j	0
pl	pl	0
pl	dead	0
pl	dead	0
pl	j	0
pl	j	0
pl	pl	0
pl	pl	0
pl	j	0
pl	dead	0
pl	pl	0
pl	j	0
pl	j	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	j	0
pl	pl	0
pl	dead	0
pl	j	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
pl	pl	0
pl	j	0
pl	pl	0
pl	j	0
pl	dead	0
pl	j	0
pl	pl	0
pl	pl	0
pl	j	0
pl	dead	0
pl	j	0
pl	j	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	pl	0
pl	j	0
pl	j	0
pl	j	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a2	0
a2	a2	0
a2	a2	0
a2	a1	0
a2	a1	0
a2	a1	0
a2	a1	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a1	0
a2	a1	0
j	dead	0
j	dead	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	a1	0
j	dead	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
