stage	fate	pl
pl	j	0
pl	j	0
pl	j	0
pl	j	0
pl	j	0
pl	j	0
pl	j	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	15
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	15
a1	a2	0
a1	a2	0
a1	a2	0
a1	a2	0
a2	a2	0
a2	a2	15
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	15
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	15
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
pl	pl	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
pl	pl	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
pl	dead	0
j	a1	0
j	a1	0
j	dead	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
j	j	0
a1	a2	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a1	a1	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
a2	a2	0
