"func_name","package","description"
"grViz","DiagrammeR","R + viz.js"
"MCmultinomdirichlet","MCMCpack","Monte Carlo Simulation from a Multinomial Likelihood with a Dirichlet Prior"
"life_expect_mean","Rage","Calculate mean and variance of life expectancy from a matrix population model"
"life_expect_var","Rage","Calculate mean and variance of life expectancy from a matrix population model"
"mature_distrib","Rage","Age of reproductive maturity"
"plot_life_cycle","Rage","Plot a life cycle diagram from a matrix population model"
"repro_stages","Rage","Identify which stages in a matrix population model are reproductive"
"cdb_check_species","Rcompadre","Check whether a COM(P)ADRE database contains one or more species of interest"
"cdb_collapse","Rcompadre","Collapse a COM(P)ADRE database by averaging matrices over levels of one or

more grouping variables"
"cdb_flag","Rcompadre","Flag potential issues in matrices of a COM(P)ADRE database"
"cdb_flatten","Rcompadre","Convert a COM(P)ADRE database to a flat data frame with matrices and vectors

stored in string representation"
"cdb_id_stages","Rcompadre","Create integer identifiers for a COM(P)ADRE database corresponding to unique

combinations of species and matrix stage class definitions"
"cdb_metadata","Rcompadre","Extract metadata from a COM(P)ADRE database"
"matA","Rcompadre","Methods for working with matrices in com(p)adre"
"matC","Rcompadre","Methods for working with matrices in com(p)adre"
"matU","Rcompadre","Methods for working with matrices in com(p)adre"
"mpm_first_active","Rcompadre","Extract stage-class information from CompadreMat or CompadreDB objects"
"mpm_mean","Rcompadre","Calculate a mean over a list of matrices or CompadreMat objects"
"mpm_sd","Rcompadre","Calculate a standard deviation over a list of matrices or CompadreMat objects"
"yuenbt","WRS2","Independent samples t-tests on robust location measures including effect sizes."
"inertia","ade4","Decomposition of inertia (i.e. contributions) in multivariate methods"
"ggsave","aplot","Objects exported from other packages"
"leveneTest","car","Levene's Test"
"draw_plot","cowplot","Draw a (sub)plot."
"ggdraw","cowplot","Set up a drawing layer on top of a ggplot"
"lambda","distr","Methods for Function lambda  in Package `distr'"
"dist_student_t","distributional","The (non-central) location-scale Student t Distribution"
"across","dplyr","Apply a function (or functions) across multiple columns"
"arrange","dplyr","Order rows using column values"
"bind_rows","dplyr","Bind multiple data frames by row"
"case_when","dplyr","A general vectorised if-else"
"count","dplyr","Count the observations in each group"
"desc","dplyr","Descending order"
"distinct","dplyr","Keep distinct/unique rows"
"filter","dplyr","Keep or drop rows that match a condition"
"group_by","dplyr","Group by one or more variables"
"mutate","dplyr","Create, modify, and delete columns"
"n","dplyr","Information about the ""current"" group or variable"
"relocate","dplyr","Change column order"
"summarise","dplyr","Summarise each group down to one row"
"summarise_all","dplyr","Summarise multiple columns"
"summarize","dplyr","Summarise each group down to one row"
"ungroup","dplyr","Group by one or more variables"
"autofit","flextable","Adjust cell widths and heights"
"flextable","flextable","Create a flextable from a data frame"
"set_table_properties","flextable","Set table layout and width properties"
"theme_box","flextable","Apply box theme"
"theme_vanilla","flextable","Apply vanilla theme"
"theme_zebra","flextable","Apply zebra theme"
"fct_recode","forcats","Change factor levels by hand"
"fct_reorder","forcats","Reorder factor levels by sorting along another variable"
"augment","generics","Augment data with information from an object"
"setdiff","generics","Set operations"
"tidy","generics","Turn an object into a tidy tibble"
"stat_halfeye","ggdist","Half-eye (density + interval) plot (shortcut stat)"
"aes","gghighlight","Objects exported from other packages"
"annotate","ggplot2","Create an annotation layer"
"annotation_borders","ggplot2","Create a layer of map borders"
"coord_flip","ggplot2","Cartesian coordinates with x and y flipped"
"element_blank","ggplot2","Theme elements"
"element_line","ggplot2","Theme elements"
"element_text","ggplot2","Theme elements"
"facet_grid","ggplot2","Lay out panels in a grid"
"facet_wrap","ggplot2","Wrap a 1d ribbon of panels into 2d"
"geom_bar","ggplot2","Bar charts"
"geom_boxplot","ggplot2","A box and whiskers plot (in the style of Tukey)"
"geom_density","ggplot2","Smoothed density estimates"
"geom_errorbar","ggplot2","Vertical intervals: lines, crossbars & errorbars"
"geom_histogram","ggplot2","Histograms and frequency polygons"
"geom_hline","ggplot2","Reference lines: horizontal, vertical, and diagonal"
"geom_line","ggplot2","Connect observations"
"geom_linerange","ggplot2","Vertical intervals: lines, crossbars & errorbars"
"geom_point","ggplot2","Points"
"geom_vline","ggplot2","Reference lines: horizontal, vertical, and diagonal"
"ggplot","ggplot2","Create a new ggplot"
"guide_legend","ggplot2","Legend guide"
"labs","ggplot2","Modify axis, legend, and plot labels"
"position_dodge","ggplot2","Dodge overlapping objects side-to-side"
"position_nudge","ggplot2","Nudge points a fixed distance"
"scale_colour_hue","ggplot2","Evenly spaced colours for discrete data"
"scale_colour_manual","ggplot2","Create your own discrete scale"
"scale_fill_discrete","ggplot2","Discrete colour scales"
"scale_fill_manual","ggplot2","Create your own discrete scale"
"scale_x_continuous","ggplot2","Position scales for continuous data (x & y)"
"scale_y_continuous","ggplot2","Position scales for continuous data (x & y)"
"scale_y_log10","ggplot2","Position scales for continuous data (x & y)"
"theme","ggplot2","Modify components of a theme"
"theme_bw","ggplot2","Complete themes"
"theme_classic","ggplot2","Complete themes"
"theme_minimal","ggplot2","Complete themes"
"xlab","ggplot2","Modify axis, legend, and plot labels"
"xlim","ggplot2","Set scale limits"
"ylab","ggplot2","Modify axis, legend, and plot labels"
"ylim","ggplot2","Set scale limits"
"ggarrange","ggpubr","Arrange Multiple ggplots"
"element_markdown","ggtext","Theme element that enables markdown text."
"scan_packages","grateful","Scan a project or folder for packages used"
"project","gss","Projecting Smoothing Spline ANOVA Fits for Model Diagnostics"
"cell_fill","gt","Helper for defining custom fills for table cells"
